year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
2008,151311,148805,144599,145154,145825,140685,137402,137244,132828,131967,127441,125051,121040,120738,120146,119182,118109,117228,116980,115660,114683,115500,115114,115335,115818,113244,111142,111539,110823,107173,109501,112567,110241,106781,103220,100859,100830,96564,91609,87986,82081,84095,83005,81552,78899,78923,78287,81068,78363,77351,76212,75626,76629,74183,75108,75517,74922,73752,66214,65768,71574,64951,51561,43827,38227,36394,38508,39635,39658,41324,41676,37996,35160,32591,30137,31251,27461,29347,26010,25442,22713,22209,20637,19624,17155,14849,11604,10741,7751
2009,156213,151722,149111,144846,145362,146006,140786,137536,137340,132908,132046,127507,125086,121109,120812,120170,119248,118586,117656,117181,115804,114745,115413,115087,115406,115956,113439,111291,111687,110942,107244,109661,112650,110283,106840,103208,100834,100792,96547,91599,87975,82059,84052,82982,81523,78848,78877,78184,80985,78266,77256,76080,75461,76471,73987,74863,75248,74671,73489,65929,65485,71159,64655,51246,43550,37959,36095,38107,39139,39195,40689,41004,37285,34343,31717,29322,30252,26540,28233,24854,24150,21451,20879,19208,18090,15665,13408,10340,9516
2010,160742,157170,152737,149727,145373,145774,146458,141082,137844,137620,133083,132296,127660,125219,121251,120964,120369,119728,119024,116188,115988,116188,115326,116375,116172,116546,117120,114409,111869,109280,108160,107854,110179,113127,110757,107076,103392,100823,100807,96865,91929,88058,82154,84104,83057,81540,78862,78859,78175,80937,78294,77166,76037,75429,76337,73937,74695,75062,74425,73296,65728,65259,70842,64367,50969,43195,37652,35820,37653,38622,38682,40102,40277,36496,33572,30907,28525,29228,25534,27045,23652,22816,20150,19533,17817,16609,14204,12040,9138
2011,166977,162411,157111,152653,149804,145466,145914,146491,141240,137874,137735,133264,132412,127810,125390,121389,121073,120729,120258,119454,118235,117600,116346,115175,115971,115631,116001,116497,113985,111797,112070,111292,107543,109886,112828,110512,106918,103343,100902,100908,96633,91678,88025,82147,84084,83005,81512,78789,78752,78084,80882,78110,77010,75793,75201,76077,73671,74450,74708,74088,72964,65416,64884,70397,63930,50536,42813,37297,35376,37214,38096,38121,39383,39445,35586,32691,29935,27475,28108,24397,25603,22333,21403,18716,17993,16138,14945,12660,10493
2012,167174,167409,162827,157503,153044,150167,145799,146285,146840,141515,138184,137990,133465,132627,128006,125571,121558,121696,121324,120578,119751,118597,117968,116832,115577,116346,116025,116384,116871,114245,112045,112318,111479,107707,110012,112979,110637,107036,103457,101073,100992,96756,91752,88108,82191,84119,82970,81531,78781,78740,78062,80761,77973,76861,75653,75014,75885,73426,74138,74437,73778,72623,65116,64590,69954,63444,50090,42427,36932,34908,36667,37505,37422,38541,38538,34649,31741,28850,26417,26873,23194,24169,20898,19890,17228,16406,14535,13202,11037
2013,171853,167672,167863,163295,157863,153453,150523,146165,146625,147143,141807,138431,138211,133647,132834,128191,125673,122092,122328,121635,120823,120076,118923,118376,117193,116009,116743,116368,116707,117153,114474,112294,112530,111671,107884,110178,113133,110778,107137,103537,101183,101098,96864,91813,88161,82255,84165,82972,81505,78756,78743,77981,80649,77875,76736,75506,74848,75681,73189,73901,74151,73445,72338,64851,64237,69450,63026,49639,42039,36543,34443,36089,36880,36734,37722,37608,33668,30763,27821,25306,25597,21942,22677,19458,18339,15786,14802,12971,11657
2014,172457,172305,168216,168241,163737,158248,153885,150854,146495,146995,147490.0,142140,138704,138453,133874,133034,128369,126298,122840,122745,121949,121149,120493,119448,118918,117725,116507,117201,116814,117113,117548,114856,112596,112809,111896,108146,110377,113306,111019,107362,103760,101367,101271,97055,92006,88311,82391,84297,83076,81629,78814,78801,78016,80653,77871,76719,75437,74785,75615,73121,73776,74034,73249,72138,64797,64086,69214,62675,49294,41682,36188,34052,35626,36272,36041,36930,36663,32700,29730,26744,24153,24348,20655,21142,18089,16811,14312,13222,11443
2015,177582,173103,172994,168764,168774,164259,158793,154324,151282,146931,147384.0,147861,142461,139023,138765,134131,133225,129039,127143,123328,123162,122432,121707,121097,120106,119596,118401,117165,117741,117355,117653,117990,115308,113042,113174,112276,108448,110697,113633,111326,107628,104019,101602,101489,97298,92246,88512,82550,84475,83200,81724,78868,78858,78059,80650,77837,76674,75374,74684,75563,72994,73635,73855,72942,71892,64509,63759,68761,62148,48817,41203,35654,33524,35035,35502,35185,35987,35616,31588,28540,25567,22897,22897,19270,19489,16613,15121,12688,11572
2016,179776,178096,173578,173399,169102,169096,164588,159068,154614,151557,147225,147676,148119,142694,139257,139003,134261,133838,129856,127579,123740,123613,122916,122266,121676,120702,120155,118905,117647,118232,117823,118092,118390,115586,113386,113550,112586,108765,110986,113855,111589,107913,104330,101821,101744,97525,92485,88715,82723,84596,83328,81786,78948,78859,78019,80603,77754,76523,75222,74560,75322,72810,73368,73609,72570,71487,64161,63297,68230,61552,48262,40637,35094,32939,34350,34658,34342,34981,34477,30362,27304,24297,21511,21442,17905,17901,15016,13508,11236
2017,182403,180442,178635,174046,173825,169489,169404,164977,159421,155011,151938,147571,147948,148451,142987,139555,139213,134927,134658,130290,128017,124282,124154,123529,122880,122331,121322,120774,119496,118211,118757,118237,118507,118748,115995,113746,113876,112927,109069,111324,114125,111895,108179,104605,102137,102000,97755,92691,88862,82851,84699,83385,81849,79003,78873,77972,80574,77661,76379,75109,74385,75118,72618,72966,73214,72198,71038,63776,62786,67675,60843,47575,40074,34503,32281,33621,33820,33419,33866,33256,29106,25963,22965,20136,19877,16455,16145,13459,11916
2018,184338,182963,180963,179025,174499,174177,169824,169793,165350,159752,155347,152235,147871,148228,148701,143263,139720,139885,135718,135072,130671,128453,124745,124795,124119,123413,122907,121886,121353,120098,118775,119253,118719,118946,119206,116412,114080,114231,113221,109460,111664,114512,112229,108425,104858,102446,102273,97976,92918,89068,83019,84794,83447,81863,78991,78890,77944,80494,77589,76258,74965,74199,74924,72319,72690,72815,71751,70503,63272,62199,66963,60057,46885,39388,33755,31578,32799,32882,32420,32647,31968,27715,24548,21537,18655,18322,14984,14490,11920
2019,185501,185209,183608,181638,179685,175106,174682,170306,170254,165831,160225,155770,152628,148272,148618,149056,143561,140442,140782,136192,135492,131214,129028,125367,125513,124784,124050,123510,122484,121981,120716,119436,119848,119258,119470,119765,116856,114456,114600,113667,109897,111989,114917,112639,108808,105226,102737,102587,98301,93184,89313,83210,84927,83578,82029,79098,78947,77936,80465,77527,76210,74813,73998,74666,72103,72367,72444,71299,69953,62751,61694,66207,59264,46071,38661,33014,30772,31905,31809,31298,31330,30484,26335,23008,20027,17168,16573,13486,12838
2020,185501,185209,183608,181638,179685,175106,174682,170306,170254,165831,160225,155770,152628,148272,148618,149056,143561,140442,140782,136192,135492,131214,129028,125367,125513,124784,124050,123510,122484,121981,120716,119436,119848,119258,119470,119765,116856,114456,114600,113667,109897,111989,114917,112639,108808,105226,102737,102587,98301,93184,89313,83210,84927,83578,82029,79098,78947,77936,80465,77527,76210,74813,73998,74666,72103,72367,72444,71299,69953,62751,61694,66207,59264,46071,38661,33014,30772,31905,31809,31298,31330,30484,26335,23008,20027,17168,16573,13486,12838
2021,185501,185209,183608,181638,179685,175106,174682,170306,170254,165831,160225,155770,152628,148272,148618,149056,143561,140442,140782,136192,135492,131214,129028,125367,125513,124784,124050,123510,122484,121981,120716,119436,119848,119258,119470,119765,116856,114456,114600,113667,109897,111989,114917,112639,108808,105226,102737,102587,98301,93184,89313,83210,84927,83578,82029,79098,78947,77936,80465,77527,76210,74813,73998,74666,72103,72367,72444,71299,69953,62751,61694,66207,59264,46071,38661,33014,30772,31905,31809,31298,31330,30484,26335,23008,20027,17168,16573,13486,12838
2022,185501,185209,183608,181638,179685,175106,174682,170306,170254,165831,160225,155770,152628,148272,148618,149056,143561,140442,140782,136192,135492,131214,129028,125367,125513,124784,124050,123510,122484,121981,120716,119436,119848,119258,119470,119765,116856,114456,114600,113667,109897,111989,114917,112639,108808,105226,102737,102587,98301,93184,89313,83210,84927,83578,82029,79098,78947,77936,80465,77527,76210,74813,73998,74666,72103,72367,72444,71299,69953,62751,61694,66207,59264,46071,38661,33014,30772,31905,31809,31298,31330,30484,26335,23008,20027,17168,16573,13486,12838
